CODE1,TOWN,VILLAGE,COUNT,lat,lon,type,coordinates
A6727-04-010,仁德區,仁德里,2,22.97307555,120.251823187,Polygon,"[[[120.252758517, 22.974051773], [120.252581909, 22.973627928], [120.252195963, 22.972843095], [120.251629085, 22.97158679], [120.25133802, 22.971654899], [120.251371298, 22.972577319], [120.251351794, 22.972934429], [120.251211072, 22.973014942], [120.251260191, 22.973648388], [120.251400468, 22.97364905], [120.251371046, 22.973943649], [120.252758517, 22.974051773]]]"
A6727-06-008,仁德區,仁義里,4,22.971850631,120.255230881,Polygon,"[[[120.254552749, 22.972566134], [120.255312103, 22.97248672], [120.25609456, 22.972395437], [120.255997412, 22.971132881], [120.254327248, 22.971331046], [120.254395666, 22.971986405], [120.254552749, 22.972566134]]]"
A6727-10-004,仁德區,成功里,2,22.960119417,120.226718541,Polygon,"[[[120.226290269, 22.961341399], [120.226757296, 22.961112585], [120.226759365, 22.960694948], [120.227276625, 22.960243702], [120.227347744, 22.960169549], [120.227342288, 22.960110826], [120.227332354, 22.959740539], [120.227332319, 22.959478663], [120.227484512, 22.959457317], [120.227056289, 22.959339173], [120.226262654, 22.959306314], [120.226272368, 22.960483496], [120.226290269, 22.961341399]]]"
A6727-11-001,仁德區,仁德里,2,22.972962485,120.24067634,Polygon,"[[[120.242564108, 22.970168703], [120.24190335, 22.970467419], [120.238618074, 22.972091113], [120.238015016, 22.972363287], [120.237929413, 22.973142985], [120.237861341, 22.974032133], [120.237880712, 22.974382147], [120.238003699, 22.974651387], [120.238159879, 22.975523552], [120.238200688, 22.975532257], [120.238899242, 22.974983333], [120.239211749, 22.974917782], [120.24115844, 22.974654135], [120.241525727, 22.974578856], [120.243578221, 22.973972901], [120.243030418, 22.972167715], [120.242899601, 22.971901665], [120.242989958, 22.971514178], [120.242882895, 22.970942004], [120.242564108, 22.970168703]]]"
A6728-02-006,歸仁區,大廟里,2,22.995534842,120.274641844,Polygon,"[[[120.27343785, 22.9937989], [120.273535939, 22.994151961], [120.273545643, 22.994987303], [120.273625992, 22.995978739], [120.273681207, 22.997233533], [120.274847933, 22.997069363], [120.274734063, 22.996684816], [120.276533847, 22.996326347], [120.27625549, 22.995868064], [120.275788081, 22.995216948], [120.275477768, 22.99487659], [120.275009071, 22.994260384], [120.274818947, 22.993931227], [120.27343785, 22.9937989]]]"
A6728-13-003,歸仁區,許厝里,2,22.965953305,120.301696577,Polygon,"[[[120.301709711, 22.967254509], [120.302701029, 22.965985797], [120.302846198, 22.965757164], [120.302385371, 22.965823681], [120.302313249, 22.965391889], [120.301934628, 22.965416496], [120.301716367, 22.965295472], [120.300479626, 22.965464087], [120.300562704, 22.966039379], [120.301592209, 22.965917917], [120.301665664, 22.966406326], [120.301709711, 22.967254509]]]"
A6728-17-005,歸仁區,看西里,2,22.961743982,120.301211962,Polygon,"[[[120.30216525, 22.962537448], [120.302095336, 22.961577489], [120.301614934, 22.961461926], [120.301734074, 22.961033767], [120.301596376, 22.960995512], [120.300395818, 22.960480573], [120.300361892, 22.960636404], [120.300618315, 22.962191592], [120.300607408, 22.962702581], [120.301599755, 22.962665906], [120.30216525, 22.962537448]]]"
A6728-17-007,歸仁區,看東里,3,22.961356495,120.302485374,Polygon,"[[[120.30216525, 22.962537448], [120.302360958, 22.962423286], [120.303206757, 22.962250745], [120.303212754, 22.96206474], [120.303101672, 22.961472219], [120.30308401, 22.960707846], [120.30246069, 22.960329427], [120.302309201, 22.960160816], [120.301884191, 22.960596127], [120.301734074, 22.961033767], [120.301614934, 22.961461926], [120.302095336, 22.961577489], [120.30216525, 22.962537448]]]"
A6729-02-005,關廟區,香洋里,4,22.963563717,120.32854854,Polygon,"[[[120.329323839, 22.962269394], [120.328463678, 22.96250678], [120.3274197, 22.962822878], [120.327621266, 22.963478862], [120.3278854, 22.964015489], [120.328345997, 22.964946384], [120.329377417, 22.964660876], [120.329211047, 22.964202116], [120.329442415, 22.963774895], [120.329234098, 22.963317499], [120.329323839, 22.962269394]]]"
A6729-03-005,關廟區,山西里,2,22.963625167,120.326980696,Polygon,"[[[120.326314297, 22.964366414], [120.327041885, 22.964220551], [120.327360478, 22.964196029], [120.3278854, 22.964015489], [120.327621266, 22.963478862], [120.3274197, 22.962822878], [120.326387808, 22.963097705], [120.326251281, 22.963186137], [120.32632764, 22.964071443], [120.326314297, 22.964366414]]]"
