,SD,SV,TD,TV,S_index,T_index
0,東區,成大里,北區,公園里,202,40
1,東區,成大里,北區,中樓里,202,36
2,東區,成大里,東區,大學里,202,182
3,東區,成大里,中西區,赤嵌里,202,17
4,東區,成大里,東區,中西里,202,176
5,東區,成大里,東區,圍下里,202,180
6,東區,成大里,中西區,城隍里,202,6
7,東區,成大里,北區,仁愛里,202,37
8,北區,公園里,北區,中樓里,40,36
9,北區,公園里,中西區,赤嵌里,40,17
10,北區,公園里,北區,北華里,40,42
11,北區,公園里,北區,長興里,40,66
12,北區,公園里,北區,大興里,40,49
13,北區,中樓里,北區,長勝里,36,65
14,北區,中樓里,北區,大興里,36,49
15,北區,中樓里,北區,仁愛里,36,37
16,北區,中樓里,北區,振興里,36,54
17,北區,賢北里,北區,大豐里,63,50
18,北區,賢北里,北區,大港里,63,48
19,北區,賢北里,中西區,西湖里,63,15
20,北區,賢北里,中西區,西賢里,63,16
21,北區,大豐里,北區,大港里,50,48
22,北區,大豐里,北區,大和里,50,47
23,北區,大豐里,北區,文成里,50,56
24,北區,大豐里,中西區,西湖里,50,15
25,北區,大豐里,中西區,西和里,50,14
26,北區,大豐里,北區,元美里,50,39
27,北區,大豐里,中西區,光賢里,50,1
28,北區,大港里,北區,大和里,48,47
29,北區,大港里,安南區,海南里,48,138
30,北區,大港里,中西區,西賢里,48,16
31,北區,正覺里,北區,成功里,58,52
32,北區,正覺里,永康區,甲頂里,58,262
33,北區,正覺里,北區,北門里,58,43
34,北區,正覺里,北區,華德里,58,62
35,北區,正覺里,北區,福德里,58,60
36,北區,正覺里,北區,大光里,58,46
37,北區,正覺里,北區,小北里,58,51
38,北區,大和里,安南區,海南里,47,138
39,北區,大和里,安南區,溪墘里,47,145
40,北區,大和里,安南區,幸福里,47,133
41,北區,大和里,北區,元美里,47,39
42,北區,大和里,北區,文元里,47,55
43,北區,成功里,安南區,溪頂里,52,148
44,北區,成功里,安南區,溪東里,52,147
45,北區,成功里,永康區,甲頂里,52,262
46,北區,成功里,北區,華德里,52,62
47,東區,大學里,東區,崇誨里,182,196
48,東區,大學里,東區,中西里,182,176
49,東區,大學里,東區,東明里,182,207
50,東區,大學里,東區,圍下里,182,180
51,東區,大學里,東區,東光里,182,205
52,東區,大學里,東區,小東里,182,188
53,東區,大學里,北區,東興里,182,57
54,東區,大學里,北區,仁愛里,182,37
55,安南區,青草里,安南區,城南里,153,116
56,安南區,青草里,安南區,砂崙里,153,150
57,安南區,青草里,安南區,城西里,153,118
58,仁德區,保安里,仁德區,上崙里,28,21
59,仁德區,保安里,仁德區,成功里,28,33
60,仁德區,保安里,仁德區,中洲里,28,22
61,仁德區,保安里,仁德區,文賢里,28,34
62,仁德區,保安里,仁德區,二行里,28,23
63,安南區,媽祖宮里,安南區,城北里,122,115
64,安南區,媽祖宮里,安南區,城南里,122,116
65,安南區,媽祖宮里,安南區,城中里,122,114
