OBJECTID,Id,Shape,date,type,WeekName
58,5.0,"POLYGON ((13374943.8039 2649928.9459999986, 13375032.5317 2649889.3830999993, 13375073.6871 2649894.6090000011, 13375109.864500001 2649904.9092999995, 13375141.812800001 2649938.6490999982, 13375019.0955 2649991.1996, 13374982.6195 2650006.5773000009, 13374944.6996 2649979.1077999994, 13374916.931499999 2649954.3255000003, 13374943.8039 2649928.9459999986))",2016/07/14,噴藥,29.0
77,7715.0,"POLYGON ((13384581.006700002 2629190.4008999988, 13384594.1877 2629170.5438, 13384628.5247 2629151.7331000008, 13384684.061 2629137.1026000008, 13384687.302000001 2629182.0406000018, 13384677.7474 2629207.1215000004, 13384601.3103 2629216.6761000007, 13384581.006700002 2629190.4008999988))",2016/07/20,噴藥,30.0
81,7717.0,"POLYGON ((13394807.853799999 2627587.9945, 13394787.8488 2627527.3823999986, 13394868.7645 2627498.7184999995, 13394902.504299998 2627493.0454000011, 13394912.827100001 2627528.7681000009, 13394923.4051 2627559.0320999995, 13394926.092300002 2627584.7100999989, 13394858.0156 2627609.7910000011, 13394815.489300001 2627608.7881000005, 13394807.853799999 2627587.9945))",2016/07/22,噴藥,30.0
101,7672.0,"POLYGON ((13386960.010899998 2635152.3513999991, 13386960.309500001 2635152.3513999991, 13386960.906599998 2635151.4556999989, 13386995.542100001 2635082.4831999987, 13387054.96 2635016.4965999983, 13387157.3737 2635167.2806, 13387132.591400001 2635186.3898000009, 13386960.010899998 2635152.3513999991))",2016/07/21,噴藥,30.0
109,,POINT EMPTY,,,
118,7797.0,"POLYGON ((13388327.827100001 2662664.8504999988, 13388328.424199998 2662666.6420000009, 13388509.364999998 2662730.5386000015, 13388517.7253 2662762.1882999986, 13388385.154800002 2662855.9431000017, 13388283.039700001 2662804.5870000012, 13388327.827100001 2662664.8504999988))",2017/05/11,噴藥,19.0
119,7802.0,"POLYGON ((13379238.4588 2633339.9849000014, 13379238.4588 2633340.5821, 13379296.9809 2633328.0416, 13379345.948399998 2633351.928199999, 13379353.7115 2633427.1708999984, 13379348.337000001 2633473.1525, 13379252.193599999 2633494.0533000007, 13379186.5055 2633434.3368999995, 13379238.4588 2633339.9849000014))",2016/07/08,孳清,28.0
121,7806.0,"POLYGON ((13383866.9357 2633057.6209999993, 13383867.234299999 2633058.2181, 13383866.6371 2633058.5166999996, 13383850.215100002 2633026.8669999987, 13383895.300999999 2633019.1039000005, 13383897.6897 2633055.2322999984, 13383867.234299999 2633057.6209999993, 13383866.9357 2633057.6209999993))",2016/08/10,噴藥,33.0
1106,,POINT EMPTY,,,
1110,,POINT EMPTY,,,
1111,7794.0,"POLYGON ((13384506.470600002 2633843.8489999995, 13384506.470600002 2633845.0432999991, 13384511.8451 2633839.0716999993, 13384616.945999999 2633916.1059000008, 13384620.529 2633931.632100001, 13384593.656599998 2633969.2534999996, 13384505.276299998 2634080.9232, 13384397.7867 2634005.6805000007, 13384450.934300002 2633923.2718, 13384506.470600002 2633843.8489999995))",2016/07/25,噴藥,31.0
1112,8793.0,"POLYGON ((13387531.1677 2634532.4609999992, 13387577.149300002 2634532.4609999992, 13387496.532200001 2634634.5760999992, 13387494.1435 2634560.5276999995, 13387531.1677 2634532.4609999992))",2016/07/26,噴藥,31.0
1113,8793.0,"POLYGON ((13385803.5753 2634093.1332999989, 13385804.172400001 2634092.8346999995, 13385777.8972 2634023.2650999986, 13385746.247499999 2633956.9798000008, 13385832.239100002 2633951.6053000018, 13385848.661200002 2633987.7338000014, 13385935.8471 2633980.2692000009, 13385973.1699 2634091.3418000005, 13385803.5753 2634093.1332999989))",2016/07/26,噴藥,31.0
1114,,POINT EMPTY,,,
2114,,POINT EMPTY,,,
2117,,POINT EMPTY,,,
2120,9794.0,"POLYGON ((13390280.941100001 2641336.647, 13390236.750999998 2641349.7846000008, 13390232.570799999 2641371.2824999988, 13390188.380600002 2641367.6994999982, 13390191.963599999 2641352.1733000018, 13390186.589200001 2641345.0073000006, 13390148.3706 2641330.0782000013, 13390135.233 2641323.5093999989, 13390123.289700001 2641306.1915999986, 13390126.872699998 2641293.6512, 13390193.7551 2641297.2342000008, 13390199.1296 2641270.3618, 13390259.4432 2641280.5135999992, 13390291.0929 2641277.5276999995, 13390280.941100001 2641336.647))",2016/08/10,噴藥,33.0
2127,,POINT EMPTY,,,
2129,,POINT EMPTY,,,
2131,,POINT EMPTY,,,
2133,,POINT EMPTY,,,
2134,,POINT EMPTY,,,
2135,8794.0,"POLYGON ((13385878.981199998 2634033.4169000015, 13385902.569200002 2634075.5168999992, 13385901.9721 2634075.2183, 13385878.981199998 2634033.4169000015))",2016/07/28,孳清,31.0
2137,,POINT EMPTY,,,
2139,9797.0,"POLYGON ((13385170.415399998 2634045.4523000009, 13385159.5867 2634008.1103999987, 13385211.619800001 2634014.3997000009, 13385206.245299999 2634043.6607999988, 13385170.415399998 2634045.4523000009))",2016/08/11,孳清,33.0
2144,,POINT EMPTY,,,
2145,9830.0,"POLYGON ((13398627.978999998 2627818.2366999984, 13398630.3677 2627819.4310000017, 13398628.576200001 2627821.8196999989, 13398628.576200001 2627818.8339000009, 13398627.978999998 2627818.2366999984))",2016/09/18,噴藥,39.0
2146,,POINT EMPTY,,,
2147,,POINT EMPTY,,,
2148,,POINT EMPTY,,,
2150,,POINT EMPTY,,,
2151,,POINT EMPTY,,,
2152,,POINT EMPTY,,,
2154,,POINT EMPTY,,,
2157,,POINT EMPTY,,,
2159,,POINT EMPTY,,,
2168,,POINT EMPTY,,,
2170,9858.0,"POLYGON ((13384651.7841 2628364.9087999985, 13384653.575599998 2628347.2923999988, 13384654.172699999 2628335.6477000006, 13384666.4146 2628320.7186000012, 13384685.388500001 2628320.4200000018, 13384688.971500002 2628371.1790000014, 13384651.7841 2628364.9087999985))",2016/07/01,孳清,27.0
2171,,POINT EMPTY,,,
2172,,POINT EMPTY,,,
2174,,POINT EMPTY,,,
2179,,POINT EMPTY,,,
2181,,POINT EMPTY,,,
2183,,POINT EMPTY,,,
2189,,POINT EMPTY,,,
2191,,POINT EMPTY,,,
2192,,POINT EMPTY,,,
2193,,POINT EMPTY,,,
2198,,POINT EMPTY,,,
