DIST,VILL,restaurant_num,Attractions_num,manhole_den,pop_den,market_num,vocational_num,elementary_school_count,high_school_count,junior_high_school_count,kindergarten_count
中西區,五條港里,18,4,0.000219503,13239.17693,2,0,0,0,0,0
中西區,光賢里,0,0,0.000441631,13372.72326,0,0,0,0,0,1
中西區,兌悅里,6,3,0.000230024,18315.0978,0,0,0,0,0,0
中西區,南廠里,16,0,0.000281201,17492.34968,0,0,0,0,0,0
中西區,南美里,24,12,0.000191271,12891.03465,1,0,1,0,0,1
中西區,南門里,9,4,0.000170441,9146.984823,0,0,1,1,2,3
中西區,城隍里,9,4,0.000205199,17009.51976,1,0,0,1,0,0
中西區,大涼里,4,0,0.000202088,6882.472087,0,0,1,0,1,2
中西區,小西門里,31,1,0.000232203,13819.92686,0,1,0,0,0,3
中西區,府前里,20,1,0.000326887,8795.850251,1,0,0,0,0,0
中西區,永華里,20,17,0.000245562,14823.01675,0,0,1,0,0,2
中西區,法華里,5,0,0.00017329,27622.39459,0,0,0,0,0,0
中西區,淺草里,21,5,0.0002444,11870.83484,2,0,0,0,0,0
中西區,藥王里,6,6,0.000318325,13951.97168,0,0,1,0,0,2
中西區,西和里,0,0,0.000213772,21120.63846,0,0,0,0,0,0
中西區,西湖里,1,0,0.000520143,12967.09666,0,0,0,0,0,1
中西區,西賢里,0,0,0.000143411,5632.88265,0,0,0,0,0,0
中西區,赤嵌里,47,15,0.000154703,10004.83998,0,0,1,0,0,1
中西區,郡王里,5,5,0.000167683,11028.96341,0,0,1,1,0,5
中西區,開山里,10,0,0.00019491,24408.71097,1,0,0,0,0,0
仁德區,一甲里,1,2,0.0000133,1529.125666,0,0,0,0,0,0
仁德區,上崙里,0,0,0.00000425,1502.628483,0,0,0,0,0,2
仁德區,中洲里,0,0,0,386.8946353,1,0,1,0,0,2
仁德區,二行里,0,2,0,2173.085567,1,0,0,0,0,0
仁德區,仁和里,1,0,0,14508.87929,0,0,0,0,0,0
仁德區,仁德里,4,0,0.0000175,3250.657032,0,0,0,0,1,2
仁德區,仁愛里,5,1,0,771.9757064,0,0,1,0,0,1
仁德區,仁義里,6,1,0.0000798,4470.2849,2,0,1,0,0,5
仁德區,保安里,2,2,0.0000108,862.956547,1,0,1,0,1,1
仁德區,土庫里,1,1,0,1643.813502,1,0,0,0,0,2
仁德區,大甲里,0,0,0,542.91585,0,0,1,0,0,2
仁德區,太子里,1,2,0.000000646,4092.823164,0,0,1,0,0,0
仁德區,後壁里,2,0,0.0000113,4418.863631,0,0,1,0,0,2
仁德區,成功里,6,4,0,716.8589444,0,0,1,0,0,1
仁德區,文賢里,1,1,0.0000409,842.6098854,0,0,0,0,0,0
仁德區,新田里,2,0,0.0000113,1229.873334,0,0,0,0,1,1
北區,中樓里,3,2,0,5977.639053,0,0,0,0,0,0
北區,仁愛里,2,0,0,10084.71158,1,0,0,0,0,0
北區,元寶里,2,0,0,46290.26074,1,0,0,0,0,0
北區,元美里,0,0,0.000281318,9436.929852,0,0,1,0,0,2
北區,公園里,4,3,0.0000882,5650.481158,0,0,1,0,0,1
北區,力行里,0,0,0,15434.53426,0,0,0,0,0,0
北區,北華里,16,6,0.000218863,19246.84727,0,0,0,0,0,2
北區,北門里,1,0,0.000251717,18607.68317,0,0,0,0,0,1
北區,合興里,1,0,0,17676.66029,0,0,0,0,1,0
北區,和順里,1,0,0.000344452,22453.45894,0,0,0,0,1,0
北區,大光里,3,0,0.0000794,19118.62938,0,0,1,0,1,1
北區,大和里,2,0,0.000214141,11097.37718,0,0,0,0,0,0
北區,大港里,0,0,0.0001635,8874.258228,1,0,1,0,0,3
北區,大興里,0,1,0.0000865,9640.106662,0,0,0,1,1,0
北區,大豐里,1,0,0.000297429,11223.76383,1,0,0,0,0,3
北區,小北里,2,1,0.00035864,17761.00419,0,0,0,0,0,1
北區,成功里,2,0,0.000383119,15660.34939,0,0,0,0,0,1
北區,成德里,5,2,0.000321982,13095.48991,0,0,0,0,0,2
北區,振興里,3,0,0,11087.80183,0,0,0,0,0,1
北區,文元里,1,0,0.000171644,11007.92843,0,0,0,0,0,2
北區,文成里,2,0,0.000237109,9609.886048,0,0,0,0,0,2
北區,東興里,0,0,0,9455.028431,1,0,0,0,0,0
北區,正覺里,2,0,0.000243204,15798.92616,0,0,0,0,0,1
北區,永祥里,0,0,0.000202998,16531.99453,0,0,0,0,0,1
北區,福德里,2,0,0.000306963,13460.00534,0,0,0,0,0,0
北區,立人里,6,1,0.000215137,13773.55153,0,0,1,0,0,1
北區,華德里,4,0,0.000236023,9554.218301,0,0,0,0,0,3
北區,賢北里,1,0,0.000330674,13255.3152,0,0,1,0,0,2
北區,重興里,2,0,0,12378.22637,0,0,1,0,0,2
北區,長勝里,0,0,0,18168.50009,0,0,1,0,0,3
北區,長興里,3,2,0.000159938,10740.72626,0,0,0,0,0,0
北區,開元里,3,1,0,13411.16434,0,0,0,0,1,1
北區,雙安里,2,0,0.000279778,14688.35507,0,0,0,0,1,0
南區,佛壇里,2,0,0,3199.487733,0,0,0,0,0,2
南區,光明里,0,0,0.000492556,29085.71714,0,0,0,0,0,0
南區,再興里,1,0,0.000291295,21136.05209,0,0,0,0,0,0
南區,南華里,0,0,0.000383336,26124.37348,0,0,0,0,0,0
南區,南都里,1,0,0.0000818,6085.026743,0,0,0,0,0,0
南區,同安里,4,0,0.0000114,4065.324665,0,0,0,0,0,0
南區,喜北里,0,1,0,2514.636209,1,0,0,0,0,0
南區,喜南里,1,0,0,3444.93853,0,0,0,0,0,0
南區,喜東里,0,0,0,796.9527141,0,0,1,0,0,3
南區,國宅里,1,0,0.000327984,12941.20982,1,0,0,0,1,1
南區,大忠里,1,0,0,9762.762882,0,0,0,0,0,0
南區,大恩里,0,0,0,934.5843253,0,0,0,0,0,1
南區,大成里,0,0,0.000193261,8877.649623,0,0,0,0,1,0
南區,大林里,0,0,0,4593.027347,0,0,0,0,0,0
南區,府南里,1,0,0.000142483,13610.8667,0,0,0,0,0,2
南區,廣州里,3,1,0.000239697,9888.520541,0,0,0,0,0,1
南區,建南里,1,0,0,2990.714613,0,0,0,0,0,3
南區,彰南里,2,2,0.0000133,685.1073725,0,0,0,0,0,0
南區,文南里,4,0,0.000331649,16102.148,0,0,0,0,0,0
南區,文華里,5,0,0.00037455,20820.20428,1,0,0,0,0,0
南區,新昌里,1,1,0.000351639,18746.28825,1,0,0,0,0,0
南區,新生里,3,0,0,14474.08065,0,0,0,0,0,0
南區,新興里,1,0,0.000325608,15350.10647,0,0,1,0,0,2
南區,明亮里,0,0,0.000213476,17400.47226,0,0,0,0,0,3
南區,明德里,2,1,0.000049,2259.209236,0,2,1,1,0,0
南區,明興里,1,0,0.000095,20572.43082,1,0,0,0,0,2
南區,松安里,4,1,0,6410.13283,0,0,0,0,0,1
南區,永寧里,4,0,0,6136.68697,1,0,0,0,0,0
南區,田寮里,0,0,0.000255856,16950.48687,1,0,0,0,0,2
南區,省躬里,0,3,0.0000408,2788.150929,0,0,1,1,0,1
南區,竹溪里,2,1,0.0000958,4192.3498,0,0,0,0,0,0
南區,興農里,2,0,0.0000711,3002.654959,0,0,0,0,0,0
南區,郡南里,0,0,0.0000986,13147.86084,0,0,0,0,0,0
南區,金華里,2,0,0.000342869,19704.27515,0,0,0,0,0,1
南區,開南里,3,0,0.000474481,24435.78814,0,0,1,0,0,1
南區,鯤鯓里,0,2,0,708.2926923,0,0,1,0,0,1
南區,鹽埕里,1,4,0.000211357,11576.0972,0,0,1,0,0,2
安南區,佃東里,0,1,0,945.5587044,0,0,0,0,0,0
安南區,佃西里,0,0,0.00000796,1324.627777,0,0,1,0,0,1
安南區,公塭里,0,0,0,5297.335489,0,0,0,0,0,0
安南區,公親里,0,0,0,1777.693613,0,0,0,0,0,0
安南區,南興里,1,0,0,496.0669646,0,0,1,0,0,0
安南區,原佃里,0,0,0,1433.024526,0,0,0,0,0,0
安南區,四草里,0,4,0,346.7196225,0,0,1,0,0,1
安南區,國安里,1,0,0.000203745,6374.954157,0,0,1,0,1,0
安南區,城中里,0,0,0,1598.969611,0,0,0,0,0,2
安南區,城北里,1,0,0,1745.369157,1,0,0,0,0,1
安南區,城南里,0,1,0,607.4759213,0,0,0,0,0,0
安南區,城東里,0,1,0,1934.983295,0,0,1,0,0,1
安南區,城西里,0,0,0,100.6113027,0,0,0,0,0,0
安南區,塩田里,0,1,0,221.7678875,0,0,0,0,0,0
安南區,塭南里,0,0,0,5297.335489,0,0,0,0,0,0
安南區,大安里,0,0,0.0000354,7726.320689,0,0,0,0,0,1
安南區,媽祖宮里,0,3,0,253.0875771,0,0,0,1,0,0
安南區,學東里,0,0,0.00000695,591.0542217,0,0,1,0,0,1
安南區,安和里,0,0,0,4879.273349,0,0,0,0,0,0
安南區,安富里,0,0,0,14153.83441,0,0,0,0,1,1
安南區,安慶里,1,0,0.00000525,9523.246496,0,0,0,1,1,1
安南區,安東里,1,0,0,4469.557018,0,0,0,0,0,0
安南區,安西里,0,0,0.0000796,8196.998546,0,0,0,0,0,0
安南區,安順里,0,0,0,5495.165825,0,0,1,0,1,1
安南區,州北里,0,0,0,6958.05692,0,0,1,0,1,3
安南區,州南里,4,0,0.0000366,3527.831465,0,0,0,1,0,1
安南區,布袋里,0,1,0.0000342,1196.852321,0,0,0,0,0,0
安南區,幸福里,2,0,0,17895.15535,1,0,0,0,0,1
安南區,新順里,4,1,0.0000137,4895.456327,0,0,0,0,0,1
安南區,東和里,0,1,0.0000345,893.976119,0,0,0,0,0,0
安南區,梅花里,0,0,0.0000165,4595.774368,0,0,1,0,0,1
安南區,海佃里,1,0,0,18438.89239,0,0,0,0,0,1
安南區,海南里,1,1,0.0000346,543.5721024,0,0,0,0,0,0
安南區,海東里,1,1,0.0000453,8721.764838,0,0,0,0,0,3
安南區,海西里,0,0,0,972.6347357,0,0,0,0,0,1
安南區,淵中里,1,0,0,1694.83316,0,0,1,0,0,2
安南區,淵東里,1,0,0,6137.868873,1,0,0,0,1,1
安南區,淵西里,1,0,0.00000601,2275.380632,0,0,0,0,0,1
安南區,溪北里,1,0,0,15224.02075,1,0,0,0,0,0
安南區,溪墘里,3,0,0,16803.49951,0,0,0,0,0,0
安南區,溪心里,3,1,0,4885.866945,0,0,0,0,0,5
安南區,溪東里,2,0,0.0000405,10665.2344,0,0,1,0,0,0
安南區,溪頂里,0,0,0,16005.25616,0,0,0,0,0,1
安南區,理想里,1,0,0,11340.06092,0,0,0,0,0,1
安南區,砂崙里,0,0,0,570.3270692,0,0,0,0,0,0
安南區,總頭里,0,0,0,1630.115916,0,0,0,0,0,0
安南區,長安里,0,0,0.0000282,4322.89854,0,0,1,0,0,2
安南區,青草里,0,0,0,300.8687431,0,0,1,0,0,1
安南區,頂安里,1,0,0.0000365,6685.265903,1,0,0,0,0,3
安南區,鳳凰里,4,0,0,17790.81272,1,0,0,0,0,0
安南區,鹿耳里,0,1,0,400.8011251,0,0,1,0,0,1
安平區,億載里,1,4,0.000150317,3819.283958,0,0,1,0,0,2
