LON,LAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
120.05,23.05,0.0067,0.0028,4.5444,0.0019,0.0021,0.0046,0.0244,0.0042,0.0145,0.0075,0.0103,0.0089,0.0131,10.9696,0.0129,11.8161,10.6467,0.0044,0.0351,0.014,14.469,101.2825,5.9322,76.4798,29.1121,37.1598,0.0486,0.0259,23.4937,2.4502,0.0587,41.7989,21.5208,0.06,2.4649,23.339,0.0158,0.0229,0.0145,11.9592,0.0166,0.0074,25.7096,0.0049,0.0043,0.0091,0.0007,0.0534,0.0001,9.1113,0.0036,0.0015
120.05,23.1,0.0122,0.0051,4.5787,0.0031,0.0069,0.0129,0.0678,0.0119,0.0141,0.0074,0.0092,0.0088,0.0121,10.6119,0.0136,12.6426,12.341,0.0079,0.0643,0.0236,15.9444,101.1966,5.3389,82.7511,28.9923,40.8732,0.0672,0.0323,18.1378,1.8156,1.0146,45.5737,20.214,0.0829,2.1692,29.3726,0.0224,0.0339,0.0204,11.6946,0.0063,0.0032,26.3346,0.002,0.0016,0.0042,0.0003,0.0741,0.0001,9.3372,0.005,0.0019
120.05,23.15,0.0086,0.0036,5.0517,0.0019,0.0087,0.0141,0.0728,0.013,0.0112,0.006,0.0066,0.0071,0.0128,9.5974,0.0165,12.4679,15.8732,0.012,0.0994,0.0338,17.0649,87.4919,5.7251,84.8364,25.3769,41.2952,1.0512,0.0284,16.0747,1.9035,1.7952,49.3468,15.8906,0.0729,2.0269,29.2212,0.0192,0.028,0.0158,8.0386,0.0017,0.001,30.048,0.0053,0.0038,0.0128,0.0008,0.082,0.0001,9.7818,0.0055,0.002
120.05,23.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
120.1,23,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
120.1,23.05,0.0097,0.0038,5.105,0.0031,0.005,0.0114,0.0628,0.0099,0.0158,0.0068,0.0112,0.0091,0.012,12.7741,0.0133,16.2803,12.1381,0.0068,0.0459,0.0203,14.7063,119.3137,5.8696,85.4086,33.2702,37.7287,0.0519,0.0287,32.1429,3.333,1.262,43.7278,20.4398,0.0534,3.1565,32.395,0.0184,0.0268,0.0171,13.8574,0.0112,0.0042,21.6746,0.0027,0.0028,0.0056,0.0004,0.0722,0.0001,9.7084,0.0045,0.0016
120.1,23.1,0.0079,0.0031,5.0198,0.0022,0.0058,0.0112,0.0608,0.0098,0.0117,0.0053,0.0075,0.0068,0.0125,10.989,0.016,15.0463,14.2553,0.0111,0.0768,0.0307,16.0711,102.7502,5.2569,74.1498,30.0967,41.773,0.0738,0.0368,24.0096,1.9463,1.0338,46.6043,17.6036,0.0937,2.4906,31.3095,0.0236,0.036,0.0218,13.351,0.013,0.0056,24.2201,0.0045,0.0041,0.0106,0.0007,0.0997,0.0001,9.8057,0.0063,0.0021
120.1,23.15,0.0218,0.0086,5.1959,0.0052,0.0139,0.0229,0.1228,0.02,0.0245,0.0114,0.0141,0.0145,0.0195,10.8089,0.0284,15.4963,19.6228,0.0205,0.1464,0.0532,17.8442,97.0252,5.9998,70.2404,27.3664,43.0849,1.9462,0.0559,18.6546,2.79,2.7631,52.5082,16.7015,0.1157,2.4211,27.9894,0.0447,0.0653,0.0372,6.9403,0.0329,0.0164,31.4224,0.007,0.0057,0.0188,0.0011,2.7389,0.0001,11.1412,0.0055,0.0017
120.1,23.2,0.0208,0.0082,6.6339,0.0042,0.0144,0.0207,1.1837,0.0181,0.0284,0.0137,0.0147,0.0169,0.0145,10.7587,0.0239,16.3413,19.359,0.0157,0.1155,0.0385,18.9205,99.0929,6.2733,78.3459,26.7344,42.1604,2.3844,0.0469,15.4834,3.3015,3.1956,63.2755,18.5331,0.1014,2.4137,28.7176,0.0383,0.0506,0.0267,4.6098,0.0181,0.0105,26.6125,0.0077,0.0055,0.0228,0.0013,3.2717,0.0002,12.5466,0.0088,0.0026
120.1,23.25,0.0181,0.0072,5.8867,0.0031,0.0221,0.0282,0.1474,0.0247,0.0212,0.0106,0.0097,0.0128,0.017,13.6769,0.0313,16.5072,22.9589,0.015,0.1123,0.0344,23.8587,94.253,5.8384,77.7595,25.4205,41.3395,3.1269,0.031,7.9567,3.8333,3.3407,59.7373,15.8529,0.0799,2.0109,22.8045,0.049,0.0583,0.0295,3.4647,0.0118,0.0082,25.6903,0.0097,0.006,0.0314,0.0018,3.2737,0.0002,12.7731,0.0111,0.0032
