里編號,區里,經度,緯度
1,七股區七股里,120.131063,23.126292
2,七股區十份里,120.068639,23.077834
3,七股區三股里,120.083103,23.112395
4,七股區大埕里,120.146318,23.144029
5,七股區大潭里,120.133489,23.189298
6,七股區中寮里,120.116449,23.155928
7,七股區永吉里,120.122867,23.099907
8,七股區玉成里,120.130165,23.141349
9,七股區竹橋里,120.159353,23.098696
10,七股區西寮里,120.084295,23.17831
11,七股區後港里,120.145355,23.185046
12,七股區頂山里,120.116095,23.176993
13,七股區塩埕里,120.082735,23.153541
14,七股區溪南里,120.116536,23.123195
15,七股區義合里,120.141906,23.103831
16,七股區樹林里,120.147586,23.113307
17,七股區篤加里,120.139228,23.15795
18,七股區龍山里,120.089348,23.128703
19,下營區下營里,120.2628,23.235133
20,下營區大吉里,120.2375366,23.235737
21,下營區仁里里,120.257299,23.224479
22,下營區宅內里,120.255134,23.24131
23,下營區西連里,120.259134,23.210609
24,下營區後街里,120.260519,23.244731
25,下營區紅甲里,120.2575872,23.247248
26,下營區茅營里,120.2653702,23.219264
27,下營區賀建里,120.289039,23.247499
28,下營區開化里,120.275759,23.209404
29,下營區新興里,120.273326,23.232771
30,下營區營前里,120.26543,23.227741
31,大內區二溪里,120.410438,23.12566
32,大內區大內里,120.360806,23.122225
33,大內區內江里,120.364635,23.109418
34,大內區內郭里,120.374708,23.120466
35,大內區石林里,120.365286,23.132872
36,大內區石城里,120.353286,23.120632
37,大內區石湖里,120.354186,23.140719
38,大內區曲溪里,120.39132,23.119393
39,大內區頭社里,120.384914,23.15166
40,大內區環湖里,120.428593,23.168278
41,山上區山上里,120.360791,23.102756
42,山上區平陽里,120.378361,23.08407
43,山上區玉峯里,120.393421,23.097169
44,山上區明和里,120.344192,23.117588
45,山上區南洲里,120.346856,23.097696
46,山上區新莊里,120.357862,23.092567
47,山上區豐德里,120.355774,23.078056
48,中西區大涼里,120.189901,22.991868
49,中西區小西門里,120.1971488,22.983610
50,中西區五條港里,120.1963979,22.997267
51,中西區永華里,120.204935,22.991195
52,中西區光賢里,120.18997,23.003255
53,中西區西和里,120.1859512,22.998910
54,中西區西湖里,120.183475,23.002879
55,中西區西賢里,120.169778,23.003295
56,中西區兌悅里,120.1937694,22.999818
57,中西區赤嵌里,120.207145,22.996985
58,中西區府前里,120.1925694,22.992719
59,中西區法華里,120.208778,22.982906
60,中西區南門里,120.1977707,22.986266
61,中西區南美里,120.1986094,22.990931
62,中西區南廠里,120.1887627,22.990458
63,中西區城隍里,120.2049453,22.993888
64,中西區郡王里,120.207709,22.985547
65,中西區淺草里,120.1952248,22.993933
66,中西區開山里,120.209574,22.986929
67,中西區藥王里,120.191347,22.999668
68,仁德區一甲里,120.260625,22.977639
69,仁德區二行里,120.221299,22.920208
70,仁德區上崙里,120.259914,22.936223
71,仁德區土庫里,120.260885,22.985461
72,仁德區大甲里,120.206961,22.921456
73,仁德區中洲里,120.259529,22.910241
74,仁德區仁和里,120.224029,22.959449
75,仁德區仁愛里,120.219044,22.951379
76,仁德區仁義里,120.261752,22.965752
77,仁德區仁德里,120.245362,22.968835
78,仁德區太子里,120.260514,22.99076
79,仁德區文賢里,120.2408316,22.936215
80,仁德區成功里,120.219161,22.944552
81,仁德區保安里,120.240006,22.925437
82,仁德區後壁里,120.24855,22.951241
83,仁德區新田里,120.258148,22.956154
84,六甲區七甲里,120.345538,23.218379
85,六甲區二甲里,120.34094,23.229566
86,六甲區大丘里,120.445996,23.218395
87,六甲區中社里,120.323661,23.239976
88,六甲區六甲里,120.350604,23.229371
89,六甲區水林里,120.340579,23.247399
