﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,719547,1857292,922922,934370
新營區,23,23,412,412,29949,75053,36918,38135
鹽水區,13,13,146,146,10181,24372,12671,11701
白河區,21,21,213,213,10587,26175,13638,12537
柳營區,13,13,146,146,8077,20426,10623,9803
後壁區,14,14,142,142,8690,21779,11251,10528
東山區,16,16,193,193,8081,19346,10299,9047
麻豆區,20,20,239,239,16323,42983,21751,21232
下營區,12,12,167,167,9356,22611,11677,10934
六甲區,11,11,155,155,8093,21331,11019,10312
官田區,10,10,139,139,8175,20844,10622,10222
大內區,10,10,85,85,3645,8815,4747,4068
佳里區,16,16,257,257,21734,58246,28752,29494
學甲區,13,13,154,154,9857,24734,12678,12056
西港區,12,12,152,152,8890,24756,12463,12293
七股區,18,18,154,154,7923,21391,11069,10322
將軍區,12,12,124,124,7107,18512,9443,9069
北門區,10,10,85,85,4022,10129,5098,5031
新化區,16,16,185,185,15012,42604,21584,21020
善化區,20,20,243,243,20268,51981,26092,25889
新市區,11,11,174,174,13730,37537,18874,18663
安定區,13,13,144,144,10759,29956,15376,14580
山上區,7,7,64,64,2730,6972,3680,3292
玉井區,10,10,103,103,5195,13126,6787,6339
楠西區,7,7,77,77,3455,8815,4638,4177
南化區,9,9,65,65,2785,8077,4348,3729
左鎮區,10,10,67,67,1855,4302,2456,1846
仁德區,16,16,303,301,29987,77166,38782,38384
歸仁區,21,21,312,312,24070,68342,34452,33890
關廟區,15,15,209,209,11691,33365,17125,16240
龍崎區,8,8,53,53,1479,3566,1938,1628
永康區,43,43,1095,1094,90060,234799,114980,119819
東區,45,45,877,875,73657,181256,86340,94916
南區,37,37,624,624,48037,121233,59549,61684
北區,33,33,557,557,51994,126356,61088,65268
安南區,51,51,856,856,70593,200222,100410,99812
安平區,13,13,298,297,28542,68527,32328,36199
中西區,20,20,392,392,32958,77587,37376,40211
