CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺南市,1960,1,120.05,23.05,0
臺南市,1960,1,120.05,23.10,0
臺南市,1960,1,120.05,23.15,0
臺南市,1960,1,120.05,23.20,NAN
臺南市,1960,1,120.10,23.00,NAN
臺南市,1960,1,120.10,23.05,0
臺南市,1960,1,120.10,23.10,0
臺南市,1960,1,120.10,23.15,0.00260921
臺南市,1960,1,120.10,23.20,0.00219606
臺南市,1960,1,120.10,23.25,0.00699724
臺南市,1960,1,120.10,23.30,0.00231319
臺南市,1960,1,120.10,23.35,0
臺南市,1960,1,120.15,22.90,0
臺南市,1960,1,120.15,22.95,0
臺南市,1960,1,120.15,23.00,0
臺南市,1960,1,120.15,23.05,0
臺南市,1960,1,120.15,23.10,0
臺南市,1960,1,120.15,23.15,0.000793528
臺南市,1960,1,120.15,23.20,0.000392919
臺南市,1960,1,120.15,23.25,0.0057778
臺南市,1960,1,120.15,23.30,0.000302309
臺南市,1960,1,120.15,23.35,0
臺南市,1960,1,120.20,22.90,0
臺南市,1960,1,120.20,22.95,0.00133187
臺南市,1960,1,120.20,23.00,0.00390605
臺南市,1960,1,120.20,23.05,0
臺南市,1960,1,120.20,23.10,0
臺南市,1960,1,120.20,23.15,0
臺南市,1960,1,120.20,23.20,0
臺南市,1960,1,120.20,23.25,0.00283789
臺南市,1960,1,120.20,23.30,0.00186402
臺南市,1960,1,120.25,22.90,0
臺南市,1960,1,120.25,22.95,0.000290904
臺南市,1960,1,120.25,23.00,0.000232863
臺南市,1960,1,120.25,23.05,0.000416675
臺南市,1960,1,120.25,23.10,0
臺南市,1960,1,120.25,23.15,0.000552908
臺南市,1960,1,120.25,23.20,0.00220924
臺南市,1960,1,120.25,23.25,0
臺南市,1960,1,120.25,23.30,0.000438234
臺南市,1960,1,120.25,23.35,0.00024474
臺南市,1960,1,120.30,22.90,0
臺南市,1960,1,120.30,22.95,0
臺南市,1960,1,120.30,23.00,0
臺南市,1960,1,120.30,23.05,0
臺南市,1960,1,120.30,23.10,0
臺南市,1960,1,120.30,23.15,0
臺南市,1960,1,120.30,23.20,0.00401911
臺南市,1960,1,120.30,23.25,0.00147051
臺南市,1960,1,120.30,23.30,0.00793894
臺南市,1960,1,120.30,23.35,0.00465651
臺南市,1960,1,120.30,23.40,0
臺南市,1960,1,120.35,22.90,0
臺南市,1960,1,120.35,22.95,0
臺南市,1960,1,120.35,23.00,0
臺南市,1960,1,120.35,23.05,0
臺南市,1960,1,120.35,23.10,0
臺南市,1960,1,120.35,23.15,0
臺南市,1960,1,120.35,23.20,0.0170339
臺南市,1960,1,120.35,23.25,0.0371585
臺南市,1960,1,120.35,23.30,0.0408903
臺南市,1960,1,120.35,23.35,0.0713286
臺南市,1960,1,120.35,23.40,0.0312189
臺南市,1960,1,120.40,22.90,0
臺南市,1960,1,120.40,22.95,0
臺南市,1960,1,120.40,23.00,0
臺南市,1960,1,120.40,23.05,0
臺南市,1960,1,120.40,23.10,0
臺南市,1960,1,120.40,23.15,0
臺南市,1960,1,120.40,23.20,0.0103751
臺南市,1960,1,120.40,23.25,0.0204464
臺南市,1960,1,120.40,23.30,0.0341227
臺南市,1960,1,120.40,23.35,0.026412
臺南市,1960,1,120.40,23.40,0.026739
臺南市,1960,1,120.45,22.95,0
臺南市,1960,1,120.45,23.00,0
臺南市,1960,1,120.45,23.05,0
臺南市,1960,1,120.45,23.10,0
臺南市,1960,1,120.45,23.15,0
臺南市,1960,1,120.45,23.20,0
臺南市,1960,1,120.45,23.25,0.00987336
臺南市,1960,1,120.45,23.30,0.0376177
臺南市,1960,1,120.45,23.35,0.00421928
臺南市,1960,1,120.45,23.40,0.0196919
臺南市,1960,1,120.50,23.00,0
臺南市,1960,1,120.50,23.05,0
臺南市,1960,1,120.50,23.10,0
臺南市,1960,1,120.50,23.15,0.000423075
臺南市,1960,1,120.50,23.20,0
臺南市,1960,1,120.50,23.25,0.00256632
臺南市,1960,1,120.50,23.30,0.0490269
臺南市,1960,1,120.50,23.35,0.0120291
臺南市,1960,1,120.50,23.40,0.00246726
臺南市,1960,1,120.55,23.05,0
臺南市,1960,1,120.55,23.10,0
臺南市,1960,1,120.55,23.15,0
臺南市,1960,1,120.55,23.20,0
臺南市,1960,1,120.55,23.25,0.00417837
臺南市,1960,1,120.55,23.30,0.0376797
臺南市,1960,1,120.55,23.35,0.020265
臺南市,1960,1,120.60,23.10,0
臺南市,1960,1,120.60,23.15,0
臺南市,1960,1,120.60,23.20,0
臺南市,1960,1,120.60,23.25,0.0130226
臺南市,1960,1,120.65,23.15,0
臺南市,1960,1,120.65,23.20,0
臺南市,1960,1,120.65,23.25,0.0183527
臺南市,1960,2,120.05,23.05,0
臺南市,1960,2,120.05,23.10,0
臺南市,1960,2,120.05,23.15,0.00215386
臺南市,1960,2,120.05,23.20,NAN
臺南市,1960,2,120.10,23.00,NAN
臺南市,1960,2,120.10,23.05,0
臺南市,1960,2,120.10,23.10,0
臺南市,1960,2,120.10,23.15,0.101339
臺南市,1960,2,120.10,23.20,0.122076
臺南市,1960,2,120.10,23.25,0.0738669
臺南市,1960,2,120.10,23.30,0.00395928
臺南市,1960,2,120.10,23.35,0
臺南市,1960,2,120.15,22.90,0
臺南市,1960,2,120.15,22.95,0
臺南市,1960,2,120.15,23.00,0
臺南市,1960,2,120.15,23.05,0
臺南市,1960,2,120.15,23.10,0
臺南市,1960,2,120.15,23.15,0.0826591
臺南市,1960,2,120.15,23.20,0.111629
臺南市,1960,2,120.15,23.25,0.0768404
臺南市,1960,2,120.15,23.30,0.0178111
臺南市,1960,2,120.15,23.35,0.000809459
臺南市,1960,2,120.20,22.90,0
臺南市,1960,2,120.20,22.95,0
臺南市,1960,2,120.20,23.00,0
臺南市,1960,2,120.20,23.05,0
臺南市,1960,2,120.20,23.10,0
臺南市,1960,2,120.20,23.15,0.0132226
臺南市,1960,2,120.20,23.20,0.0971998
臺南市,1960,2,120.20,23.25,0.0707471
臺南市,1960,2,120.20,23.30,0.0264964
臺南市,1960,2,120.25,22.90,0
臺南市,1960,2,120.25,22.95,0
臺南市,1960,2,120.25,23.00,0
臺南市,1960,2,120.25,23.05,0
臺南市,1960,2,120.25,23.10,0
臺南市,1960,2,120.25,23.15,0.00163731
臺南市,1960,2,120.25,23.20,0.0713212
臺南市,1960,2,120.25,23.25,0.0811557
臺南市,1960,2,120.25,23.30,0.0495615
臺南市,1960,2,120.25,23.35,0.00385972
臺南市,1960,2,120.30,22.90,0
臺南市,1960,2,120.30,22.95,0
臺南市,1960,2,120.30,23.00,0
臺南市,1960,2,120.30,23.05,0
臺南市,1960,2,120.30,23.10,0
臺南市,1960,2,120.30,23.15,0
臺南市,1960,2,120.30,23.20,0.0669225
臺南市,1960,2,120.30,23.25,0.0809366
臺南市,1960,2,120.30,23.30,0.0666631
臺南市,1960,2,120.30,23.35,0.00392121
臺南市,1960,2,120.30,23.40,0.000576614
臺南市,1960,2,120.35,22.90,0
臺南市,1960,2,120.35,22.95,0
臺南市,1960,2,120.35,23.00,0
臺南市,1960,2,120.35,23.05,0
臺南市,1960,2,120.35,23.10,0
臺南市,1960,2,120.35,23.15,0.0123399
臺南市,1960,2,120.35,23.20,0.0869939
臺南市,1960,2,120.35,23.25,0.101321
臺南市,1960,2,120.35,23.30,0.096948
臺南市,1960,2,120.35,23.35,0.0252328
臺南市,1960,2,120.35,23.40,0.00266619
臺南市,1960,2,120.40,22.90,0
臺南市,1960,2,120.40,22.95,0
臺南市,1960,2,120.40,23.00,0
臺南市,1960,2,120.40,23.05,0
臺南市,1960,2,120.40,23.10,0
臺南市,1960,2,120.40,23.15,0.00469588
臺南市,1960,2,120.40,23.20,0.0584771
臺南市,1960,2,120.40,23.25,0.0601637
臺南市,1960,2,120.40,23.30,0.00480906
臺南市,1960,2,120.40,23.35,0
臺南市,1960,2,120.40,23.40,0
臺南市,1960,2,120.45,22.95,0
臺南市,1960,2,120.45,23.00,0
臺南市,1960,2,120.45,23.05,0
臺南市,1960,2,120.45,23.10,0
臺南市,1960,2,120.45,23.15,0
臺南市,1960,2,120.45,23.20,0.00416595
臺南市,1960,2,120.45,23.25,0.0361121
臺南市,1960,2,120.45,23.30,0.0294994
臺南市,1960,2,120.45,23.35,0.000358861
臺南市,1960,2,120.45,23.40,0
臺南市,1960,2,120.50,23.00,0
臺南市,1960,2,120.50,23.05,0
臺南市,1960,2,120.50,23.10,0
臺南市,1960,2,120.50,23.15,0
臺南市,1960,2,120.50,23.20,0.000345186
臺南市,1960,2,120.50,23.25,0.000634295
臺南市,1960,2,120.50,23.30,0.0318699
臺南市,1960,2,120.50,23.35,0.00452345
臺南市,1960,2,120.50,23.40,0.00684147
臺南市,1960,2,120.55,23.05,0
臺南市,1960,2,120.55,23.10,0
臺南市,1960,2,120.55,23.15,0
臺南市,1960,2,120.55,23.20,0
臺南市,1960,2,120.55,23.25,0
臺南市,1960,2,120.55,23.30,0
臺南市,1960,2,120.55,23.35,0.00047441
臺南市,1960,2,120.60,23.10,0
臺南市,1960,2,120.60,23.15,0
臺南市,1960,2,120.60,23.20,0
臺南市,1960,2,120.60,23.25,0
臺南市,1960,2,120.65,23.15,0
臺南市,1960,2,120.65,23.20,0
臺南市,1960,2,120.65,23.25,0
臺南市,1960,3,120.05,23.05,2.05861
臺南市,1960,3,120.05,23.10,1.83665
臺南市,1960,3,120.05,23.15,1.53948
臺南市,1960,3,120.05,23.20,NAN
臺南市,1960,3,120.10,23.00,NAN
臺南市,1960,3,120.10,23.05,2.04937
臺南市,1960,3,120.10,23.10,1.88068
臺南市,1960,3,120.10,23.15,1.45459
臺南市,1960,3,120.10,23.20,1.28142
臺南市,1960,3,120.10,23.25,1.56715
臺南市,1960,3,120.10,23.30,1.71325
臺南市,1960,3,120.10,23.35,1.78155
臺南市,1960,3,120.15,22.90,3.42877
臺南市,1960,3,120.15,22.95,3.01646
臺南市,1960,3,120.15,23.00,2.52346
臺南市,1960,3,120.15,23.05,2.40225
臺南市,1960,3,120.15,23.10,1.81213
臺南市,1960,3,120.15,23.15,1.32662
臺南市,1960,3,120.15,23.20,1.4108
臺南市,1960,3,120.15,23.25,1.81213
臺南市,1960,3,120.15,23.30,1.86372
臺南市,1960,3,120.15,23.35,1.93918
臺南市,1960,3,120.20,22.90,3.88
臺南市,1960,3,120.20,22.95,3.4099
臺南市,1960,3,120.20,23.00,2.51209
臺南市,1960,3,120.20,23.05,2.15491
臺南市,1960,3,120.20,23.10,1.64947
臺南市,1960,3,120.20,23.15,1.4228
臺南市,1960,3,120.20,23.20,1.74638
臺南市,1960,3,120.20,23.25,2.38434
