﻿縣市別代碼,行政區域代碼,監測週期,陽性率,總卵粒數 
67000,67000370,112年第12週,9.58%,705
67000,67000270,112年第12週,9.38%,347
67000,67000340,112年第12週,9.85%,947
67000,67000310,112年第12週,7.36%,1041
67000,67000360,112年第12週,12.82%,496
67000,67000350,112年第12週,13.89%,1909
67000,67000320,112年第12週,6.48%,700
67000,67000330,112年第12週,10.36%,1345
67000,67000010,112年第12週,9.72%,299
67000,67000280,112年第12週,9.52%,122
67000,67000370,112年第13週,9.58%,506
67000,67000270,112年第13週,12.50%,870
67000,67000340,112年第13週,10.10%,1047
67000,67000310,112年第13週,7.17%,779
67000,67000360,112年第13週,8.33%,384
67000,67000350,112年第13週,13.89%,2317
67000,67000320,112年第13週,6.85%,755
67000,67000330,112年第13週,15.09%,1485
67000,67000010,112年第13週,9.72%,330
67000,67000280,112年第13週,9.52%,130
67000,67000370,112年第14週,12.92%,755
67000,67000270,112年第14週,14.06%,633
67000,67000340,112年第14週,11.62%,1229
67000,67000310,112年第14週,10.47%,1228
67000,67000360,112年第14週,11.54%,337
67000,67000350,112年第14週,18.95%,2659
67000,67000320,112年第14週,7.78%,941
67000,67000330,112年第14週,16.89%,2063
67000,67000010,112年第14週,6.94%,219
67000,67000280,112年第14週,7.14%,90
67000,67000370,112年第15週,13.75%,670
67000,67000270,112年第15週,9.90%,497
67000,67000340,112年第15週,11.87%,820
67000,67000310,112年第15週,8.91%,1312
67000,67000360,112年第15週,11.54%,403
67000,67000350,112年第15週,14.38%,2110
67000,67000320,112年第15週,10.74%,1170
67000,67000330,112年第15週,14.64%,1428
67000,67000010,112年第15週,5.56%,223
67000,67000280,112年第15週,5.95%,53
67000,67000370,112年第16週,25.00%,1432
67000,67000270,112年第16週,20.31%,861
67000,67000340,112年第16週,20.20%,2104
67000,67000310,112年第16週,20.74%,3542
67000,67000360,112年第16週,21.79%,1537
67000,67000350,112年第16週,28.92%,5123
67000,67000320,112年第16週,19.63%,2200
67000,67000330,112年第16週,21.62%,2313
67000,67000010,112年第16週,12.50%,376
67000,67000280,112年第16週,19.05%,260
67000,67000370,112年第17週,15.42%,837
67000,67000270,112年第17週,15.63%,724
67000,67000340,112年第17週,25.00%,2237
67000,67000310,112年第17週,16.67%,2206
67000,67000360,112年第17週,16.67%,731
67000,67000350,112年第17週,25.82%,4332
67000,67000320,112年第17週,14.44%,1843
67000,67000330,112年第17週,17.57%,1880
67000,67000010,112年第17週,12.50%,396
67000,67000280,112年第17週,21.43%,201
67000,67000370,112年第18週,19.17%,1109
67000,67000270,112年第18週,18.75%,872
67000,67000340,112年第18週,25.51%,2323
67000,67000310,112年第18週,17.44%,2073
67000,67000360,112年第18週,23.08%,848
67000,67000350,112年第18週,25.49%,3995
67000,67000320,112年第18週,18.52%,2789
67000,67000330,112年第18週,19.59%,2310
67000,67000010,112年第18週,11.11%,253
67000,67000280,112年第18週,14.29%,109
67000,67000370,112年第19週,19.17%,1443
67000,67000270,112年第19週,28.13%,1309
67000,67000340,112年第19週,23.99%,2363
67000,67000310,112年第19週,18.02%,2237
67000,67000360,112年第19週,26.92%,1013
67000,67000350,112年第19週,32.19%,4862
67000,67000320,112年第19週,22.59%,3876
67000,67000330,112年第19週,25.90%,3513
67000,67000010,112年第19週,16.67%,499
67000,67000280,112年第19週,15.48%,178
67000,67000370,112年第21週,29.58%,2063
67000,67000270,112年第21週,41.15%,1942
67000,67000340,112年第21週,32.83%,3588
67000,67000310,112年第21週,29.26%,3882
67000,67000360,112年第21週,33.97%,1540
67000,67000350,112年第21週,47.55%,8738
67000,67000320,112年第21週,30.00%,4966
67000,67000330,112年第21週,38.51%,6197
67000,67000010,112年第21週,18.06%,604
67000,67000280,112年第21週,29.76%,593
67000,67000370,112年第22週,35.83%,2969
67000,67000270,112年第22週,34.38%,1423
67000,67000340,112年第22週,38.89%,4955
67000,67000310,112年第22週,32.56%,4592
67000,67000360,112年第22週,39.10%,2013
67000,67000350,112年第22週,50.98%,10797
67000,67000320,112年第22週,32.04%,5703
67000,67000330,112年第22週,37.84%,5496
67000,67000010,112年第22週,23.61%,817
67000,67000280,112年第22週,34.52%,746
67000,67000370,112年第23週,37.92%,2791
67000,67000270,112年第23週,31.77%,1417
67000,67000340,112年第23週,31.31%,3810
67000,67000310,112年第23週,33.14%,4889
67000,67000360,112年第23週,28.85%,1471
67000,67000350,112年第23週,47.22%,10350
67000,67000320,112年第23週,33.33%,5497
67000,67000330,112年第23週,37.61%,6444
67000,67000010,112年第23週,29.17%,979
67000,67000280,112年第23週,28.57%,500
67000,67000370,112年第24週,38.33%,2838
67000,67000270,112年第24週,39.58%,2075
67000,67000340,112年第24週,33.08%,4039
67000,67000310,112年第24週,37.79%,6743
67000,67000360,112年第24週,29.49%,1212
67000,67000350,112年第24週,44.44%,8490
67000,67000320,112年第24週,38.89%,6963
67000,67000330,112年第24週,43.24%,6027
67000,67000010,112年第24週,22.22%,922
67000,67000280,112年第24週,35.71%,1157
67000,67000370,112年第26週,52.08%,5082
67000,67000270,112年第26週,47.40%,2649
67000,67000340,112年第26週,49.24%,7691
67000,67000310,112年第26週,52.33%,10061
67000,67000360,112年第26週,59.62%,3463
67000,67000350,112年第26週,70.26%,21253
67000,67000320,112年第26週,47.59%,10786
67000,67000330,112年第26週,55.63%,12562
67000,67000010,112年第26週,33.33%,1261
67000,67000280,112年第26週,46.43%,1824
67000,67000370,112年第27週,42.92%,3027
67000,67000270,112年第27週,34.90%,1651
67000,67000340,112年第27週,35.10%,3400
67000,67000310,112年第27週,39.53%,6382
67000,67000360,112年第27週,33.97%,1789
67000,67000350,112年第27週,48.20%,9225
67000,67000320,112年第27週,34.44%,4823
67000,67000330,112年第27週,39.41%,6859
67000,67000010,112年第27週,27.78%,1094
67000,67000280,112年第27週,42.86%,1287
67000,67000370,112年第28週,37.08%,2829
67000,67000270,112年第28週,28.13%,1282
67000,67000340,112年第28週,39.14%,4378
67000,67000310,112年第28週,38.57%,6546
67000,67000360,112年第28週,36.54%,2053
67000,67000350,112年第28週,51.47%,10195
67000,67000320,112年第28週,32.41%,4610
67000,67000330,112年第28週,38.29%,5319
67000,67000010,112年第28週,19.44%,712
67000,67000280,112年第28週,34.52%,1236
67000,67000370,112年第29週,30.83%,2411
67000,67000270,112年第29週,34.38%,1492
67000,67000340,112年第29週,32.83%,3019
67000,67000310,112年第29週,31.98%,4563
67000,67000360,112年第29週,28.85%,1375
67000,67000350,112年第29週,44.61%,7362
67000,67000320,112年第29週,22.59%,2386
67000,67000330,112年第29週,35.59%,4095
67000,67000010,112年第29週,23.61%,801
67000,67000280,112年第29週,34.52%,1225
67000,67000370,112年第30週,32.50%,2155
67000,67000270,112年第30週,29.17%,1058
