﻿行政區別,面積（平方公里）,區數,里數,鄰數
總計,2191.6531,37,649,"9,661"
東  區,13.4156,1,45,877
南  區,27.2681,1,37,624
北  區,10.434,1,33,557
安南區,107.2016,1,51,856
安平區,11.0663,1,13,298
中西區,6.26,1,20,392
新營區,38.5386,1,23,412
永康區,40.2753,1,43,1095
鹽水區,52.2455,1,13,146
白河區,126.4046,1,21,213
麻豆區,53.9744,1,20,239
佳里區,38.9422,1,16,257
新化區,62.0579,1,16,185
善化區,55.3097,1,20,243
學甲區,53.9919,1,13,154
柳營區,61.2929,1,13,146
後壁區,72.2189,1,14,142
東山區,124.9178,1,16,193
下營區,33.5291,1,12,167
六甲區,67.5471,1,11,155
官田區,70.7953,1,10,139
大內區,70.3125,1,10,85
西港區,33.7666,1,12,152
七股區,110.1492,1,18,154
將軍區,41.9796,1,12,124
北門區,44.1003,1,10,85
新市區,47.8096,1,11,174
安定區,31.27,1,13,144
山上區,27.878,1,7,64
玉井區,76.3662,1,10,103
楠西區,109.6316,1,7,77
南化區,171.5198,1,9,65
左鎮區,74.9025,1,10,67
仁德區,50.7664,1,16,303
歸仁區,55.7913,1,21,312
關廟區,53.6413,1,15,209
龍崎區,64.0814,1,8,53
