week_start,VillageID,pred_cases
2024-01-01,6700100-001,40
2024-01-08,6700100-001,0
2024-01-01,6700100-002,40
2024-01-08,6700100-002,0
2024-01-01,6700100-003,40
2024-01-08,6700100-003,0
2024-01-01,6700100-004,40
2024-01-08,6700100-004,0
2024-01-01,6700100-005,40
2024-01-08,6700100-005,0
2024-01-01,6700100-006,40
2024-01-08,6700100-006,0
2024-01-01,6700100-007,40
2024-01-08,6700100-007,0
2024-01-01,6700100-008,40
2024-01-08,6700100-008,0
2024-01-01,6700100-009,40
2024-01-08,6700100-009,0
2024-01-01,6700100-010,40
2024-01-08,6700100-010,0
2024-01-01,6700100-011,40
2024-01-08,6700100-011,0
2024-01-01,6700100-012,40
2024-01-08,6700100-012,0
2024-01-01,6700100-013,40
2024-01-08,6700100-013,0
2024-01-01,6700100-014,40
2024-01-08,6700100-014,0
2024-01-01,6700100-015,40
2024-01-08,6700100-015,0
2024-01-01,6700100-016,40
2024-01-08,6700100-016,0
2024-01-01,6700100-017,40
2024-01-08,6700100-017,0
2024-01-01,6700100-018,40
2024-01-08,6700100-018,0
2024-01-01,6700100-019,40
2024-01-08,6700100-019,0
2024-01-01,6700100-020,40
2024-01-08,6700100-020,0
2024-01-01,6700100-021,40
2024-01-08,6700100-021,0
2024-01-01,6700100-022,40
2024-01-08,6700100-022,0
2024-01-01,6700100-023,40
2024-01-08,6700100-023,0
2024-01-01,6700100-024,40
2024-01-08,6700100-024,0
2024-01-01,6700100-025,40
2024-01-08,6700100-025,0
2024-01-01,6700100-026,40
2024-01-08,6700100-026,0
2024-01-01,6700100-027,40
2024-01-08,6700100-027,0
2024-01-01,6700100-028,40
2024-01-08,6700100-028,0
2024-01-01,6700100-029,40
2024-01-08,6700100-029,0
2024-01-01,6700200-001,0
2024-01-08,6700200-001,0
2024-01-01,6700200-002,0
2024-01-08,6700200-002,0
2024-01-01,6700200-003,0
2024-01-08,6700200-003,0
2024-01-01,6700200-004,0
2024-01-08,6700200-004,0
2024-01-01,6700200-005,0
2024-01-08,6700200-005,0
2024-01-01,6700200-006,0
2024-01-08,6700200-006,0
2024-01-01,6700200-007,0
2024-01-08,6700200-007,0
2024-01-01,6700200-008,0
2024-01-08,6700200-008,0
2024-01-01,6700200-009,0
2024-01-08,6700200-009,0
2024-01-01,6700200-010,0
2024-01-08,6700200-010,0
2024-01-01,6700200-011,0
2024-01-08,6700200-011,0
2024-01-01,6700200-012,0
2024-01-08,6700200-012,0
2024-01-01,6700200-013,0
2024-01-08,6700200-013,0
2024-01-01,6700200-014,0
2024-01-08,6700200-014,0
2024-01-01,6700200-015,0
