week_start,DistrictCode,pred_cases
2024-01-01,6700100,1160
2024-01-01,6700200,0
2024-01-01,6700300,0
2024-01-01,6700400,0
2024-01-01,6700500,0
2024-01-01,6700600,0
2024-01-01,6700700,0
2024-01-01,6700800,0
2024-01-01,6700900,0
2024-01-01,6701000,0
2024-01-01,6701100,0
2024-01-01,6701200,170
2024-01-01,6701300,0
2024-01-01,6701400,0
2024-01-01,6701500,0
2024-01-01,6701600,0
2024-01-01,6701700,0
2024-01-01,6701800,0
2024-01-01,6701900,0
2024-01-01,6702000,0
2024-01-01,6702100,0
2024-01-01,6702200,0
2024-01-01,6702300,0
2024-01-01,6702400,0
2024-01-01,6702500,0
2024-01-01,6702600,0
2024-01-01,6702700,258
2024-01-01,6702800,0
2024-01-01,6702900,0
2024-01-01,6703000,0
2024-01-01,6703100,0
2024-01-01,6703200,0
2024-01-01,6703300,0
2024-01-01,6703400,0
2024-01-01,6703500,0
2024-01-01,6703600,0
2024-01-01,6703700,0
2024-01-08,6700100,0
2024-01-08,6700200,0
2024-01-08,6700300,48
2024-01-08,6700400,0
2024-01-08,6700500,0
2024-01-08,6700600,31
2024-01-08,6700700,0
2024-01-08,6700800,0
2024-01-08,6700900,0
2024-01-08,6701000,0
2024-01-08,6701100,0
2024-01-08,6701200,0
2024-01-08,6701300,0
2024-01-08,6701400,0
2024-01-08,6701500,23
2024-01-08,6701600,0
2024-01-08,6701700,0
2024-01-08,6701800,0
2024-01-08,6701900,0
2024-01-08,6702000,0
2024-01-08,6702100,0
2024-01-08,6702200,0
2024-01-08,6702300,0
2024-01-08,6702400,7
2024-01-08,6702500,189
2024-01-08,6702600,0
2024-01-08,6702700,40
2024-01-08,6702800,0
2024-01-08,6702900,0
2024-01-08,6703000,0
2024-01-08,6703100,0
2024-01-08,6703200,0
2024-01-08,6703300,0
2024-01-08,6703400,0
2024-01-08,6703500,0
2024-01-08,6703600,0
2024-01-08,6703700,0
