from,to,distance
6703400-006,6703400-004,0.7942443490028381
6700200-001,6700200-004,1.7367115020751953
6700200-025,6700800-004,1.4581255912780762
6700500-021,6700500-011,2.333346366882324
6703300-027,6703700-026,0.7169196009635925
6702300-010,6702300-003,1.7928160429000854
6702800-019,6702800-005,0.28254956007003784
6700500-013,6700500-012,1.1143715381622314
6702800-012,6702800-002,2.5089640617370605
6703700-015,6703700-008,0.3427087962627411
6700500-016,6700500-017,0.9608592987060547
6700800-010,6700800-002,1.7478474378585815
6703700-001,6703200-037,0.613877534866333
6703500-030,6703500-028,1.7632161378860474
6703500-049,6703500-041,0.8185481429100037
6700600-007,6700600-006,2.5424983501434326
6702800-004,6702800-003,1.516241192817688
6702800-007,6702800-008,1.1102912425994873
6701700-010,6701600-009,2.2869977951049805
6703700-033,6703400-026,0.986194908618927
6703400-040,6703400-015,1.0864083766937256
6702800-019,6702800-018,1.7469600439071655
6703700-022,6703700-024,0.33717647194862366
6700900-002,6700900-003,1.1611310243606567
6700100-026,6700200-019,1.780768632888794
6703400-020,6703400-036,0.6118164658546448
6700500-013,6700600-004,2.823167324066162
6700100-016,6700100-003,1.860204815864563
6703500-040,6703500-049,1.144775629043579
6703700-015,6703700-021,0.5230646133422852
6702900-009,6702900-011,0.9878898859024048
6700100-012,6700100-005,0.7160322666168213
6701600-016,6701600-012,3.256012439727783
6703700-021,6703400-029,0.5953128337860107
6703400-028,6703400-018,0.8986422419548035
6700100-011,6700100-009,1.484312891960144
6702800-007,6702800-021,1.6542047262191772
6701900-002,6702000-007,3.0249414443969727
6703200-029,6703300-022,1.1032949686050415
6700300-020,6700300-011,5.7619452476501465
6701900-005,6702100-001,1.9201585054397583
6701400-003,6701400-006,2.200857639312744
6702600-009,6702500-005,5.088845729827881
6700100-004,6700100-006,0.4794457256793976
6703300-019,6703300-016,2.0711147785186768
6700100-023,6700100-019,1.7879587411880493
6701700-009,6701700-008,2.3679890632629395
6700900-002,6701000-004,2.804070472717285
6701900-020,6701900-018,2.2337472438812256
6703200-039,6703200-004,0.5210355520248413
6701700-005,6701700-010,3.093690872192383
6703400-035,6703400-034,0.4074397683143616
6700300-024,6700300-022,1.9125384092330933
6703400-038,6703400-039,0.6611852645874023
6700700-013,6700700-004,1.460569977760315
6701600-016,6701700-007,2.867050886154175
6703300-026,6703300-032,0.9382908344268799
6703700-005,6703400-034,0.3252756893634796
6701600-015,6701700-011,2.5898101329803467
6700300-020,6700300-024,2.1804847717285156
6701000-010,6700700-015,1.4102470874786377
6702600-006,6702600-004,2.983938455581665
6703100-005,6703100-036,1.0332293510437012
6700800-007,6701300-009,2.7640233039855957
6701600-008,6701700-008,2.9423987865448
6700700-008,6700700-010,2.4995741844177246
6700900-005,6700900-004,0.5368225574493408
6700900-008,6700900-009,2.1275582313537598
6702600-002,6702600-006,4.275840759277344
6703400-026,6703400-042,0.9339115619659424
6703500-002,6703500-012,1.5288395881652832
6703600-011,6703600-012,0.7061685919761658
6700700-001,6700700-007,0.9543014168739319
6703300-037,6703300-019,1.0011731386184692
6701000-008,6701000-007,1.7781654596328735
6703200-031,6703200-018,0.5049698352813721
6700100-020,6700400-006,1.756062388420105
6703600-003,6703600-013,0.5205379724502563
6702900-008,6702900-014,5.7656989097595215
6700300-010,6700600-015,4.4390692710876465
6702100-013,6701400-002,2.5128843784332275
6700700-015,6701000-007,3.0779764652252197
6701400-006,6701400-007,1.459326148033142
6701200-017,6701500-011,3.0426125526428223
6703100-037,6703100-001,1.269117832183838
6701100-002,6701100-010,2.9693498611450195
6701700-008,6701700-011,3.4240262508392334
6703400-016,6703400-010,0.22492006421089172
6700200-011,6700200-010,2.017962694168091
6700400-006,6700400-004,2.7851850986480713
6703700-030,6703700-008,0.40559133887290955
6700700-019,6700700-010,2.489898204803467
6701800-007,6701800-008,0.17379939556121826
6703300-029,6703300-033,1.4333819150924683
6700200-004,6700200-007,0.5478800535202026
6700200-023,6700200-020,3.261197805404663
6700900-007,6700400-012,3.219876527786255
6700100-017,6700100-028,1.725512981414795
6700900-012,6701100-008,5.536015510559082
6700200-007,6700200-012,1.4336445331573486
6703100-002,6703100-020,1.1378535032272339
6703500-037,6703100-010,2.286151170730591
6702900-001,6702800-008,1.1476950645446777
6702000-003,6701800-011,3.056440591812134
6703300-025,6703300-035,0.7096176147460938
6701900-010,6700700-026,2.094566583633423
6701900-001,6701900-007,0.462026447057724
6700700-024,6701900-010,2.0504887104034424
6703500-014,6701400-010,2.9020557403564453
6703300-034,6703300-003,0.5984097123146057
6703500-005,6703500-013,2.0775387287139893
6703500-024,6703500-026,2.4757115840911865
6700800-013,6700800-005,2.2587623596191406
6703200-002,6703200-030,0.37415826320648193
6702800-017,6702800-014,1.8518781661987305
6703400-016,6703400-023,0.6605771780014038
6701100-008,6702300-003,4.608225345611572
6703100-032,6703100-020,0.730879008769989
6702000-007,6701900-002,3.0249414443969727
6703200-014,6703200-040,0.962952733039856
6703500-014,6702100-013,1.1398435831069946
6702800-010,6702800-011,3.0625789165496826
6703700-013,6703700-017,0.3815041780471802
6703700-032,6703700-030,0.38618004322052
6701200-002,6701200-004,1.5701234340667725
6703700-025,6703700-027,0.7272547483444214
6700800-001,6700800-008,2.2196855545043945
6702800-002,6702800-012,2.5089640617370605
6700800-004,6700800-013,2.844507932662964
6703200-041,6703200-035,0.2960145175457001
6702600-005,6702300-009,2.9309792518615723
6703100-011,6703500-037,1.139136552810669
6700200-001,6700500-010,3.1016359329223633
6701600-007,6701600-005,2.222243547439575
6703400-025,6703500-042,0.9043514728546143
6701300-013,6701600-008,2.002413272857666
6701800-020,6701800-017,3.0508480072021484
6702500-007,6702300-006,2.346712589263916
6703400-022,6703400-016,0.2097667157649994
6703400-041,6703400-029,0.7383885383605957
6701300-004,6701300-007,3.0137879848480225
6702800-016,6703100-023,1.5033477544784546
6703500-016,6703500-040,1.8962454795837402
6703300-010,6703300-009,0.4715859591960907
6701900-012,6701900-007,2.5946109294891357
6703700-013,6703700-030,0.34181439876556396
6703400-015,6703400-013,0.33321306109428406
6700300-004,6700300-001,1.9990750551223755
6701400-009,6701200-018,1.9232019186019897
6703500-009,6703500-037,1.2013123035430908
6701900-014,6701900-016,1.362562656402588
6700200-022,6700200-023,1.6952810287475586
6701300-002,6701600-007,1.7513737678527832
6700400-008,6700100-009,3.1703903675079346
6703500-046,6703500-040,0.9436621069908142
6703600-014,6703600-002,1.522074818611145
6703700-010,6703300-001,0.7426340579986572
6701600-001,6701200-013,1.3396869897842407
6703400-041,6703400-042,1.0338505506515503
6703500-039,6703500-037,1.2846705913543701
6702900-011,6702900-004,1.0463494062423706
6700800-011,6700800-012,1.6104387044906616
6701500-016,6701400-010,1.1313984394073486
6702500-002,6702500-008,5.672614574432373
6700100-013,6700100-002,0.6007421612739563
6701900-004,6701900-021,2.0868749618530273
6703400-002,6703100-035,0.7400978803634644
